dataset,seed,condition,subgroup,all_gene_mse_v1,all_gene_mse_v2,relative_all_gene_mse_gain,top100_mse_v1,top100_mse_v2,relative_top100_mse_gain,top100_pcc_v1,top100_pcc_v2,top100_pcc_delta
Schmidt,2,JMJD1C+TNFRSF1B,combo_seen1,0.007772243435787654,0.007693691366401827,0.010106743314823398,0.00781475959701046,0.00804775719248841,-0.029815068855999577,0.927310008769154,0.9319799471167218,0.0046699383475677925
Schmidt,2,JMJD1C+TRAF3IP2,combo_seen1,0.009302642019116179,0.0089232493145337,0.04078332841389113,0.006447289326208802,0.006484227267882428,-0.005729220421901847,0.06467873263725085,0.0519781651008801,-0.01270056753637075
Schmidt,2,PRKD2+TNFRSF1A,combo_seen1,0.0096667010123522,0.007980083205263036,0.17447708426421674,0.00661691735043878,0.005811350536266794,0.12174352066201459,-0.043103030077136846,0.07142833584738797,0.11453136592452481
Schmidt,2,TNFRSF1A+TRAF3IP2,combo_seen1,0.00809456368840204,0.007063139130775406,0.12742188428320944,0.014543031778577704,0.010696841976867748,0.2644696003054536,0.45780316034433943,0.8008350766572685,0.34303191631292906
Schmidt,2,PRKD2+TRIM21,combo_seen2,0.00824513724726554,0.00824995457182804,-0.0005842625074674763,0.006302514983539625,0.00630371050398174,-0.00018968942481484811,0.0037695985945165934,0.004256828247612877,0.0004872296530962837
Schmidt,2,TNFRSF12A+TRAF3IP2,combo_seen2,0.008478234209654534,0.008480632859472412,-0.0002829185604646097,0.008469574298836954,0.00847180392885451,-0.0002632517218560584,0.23124874167366058,0.23125769973935947,8.958065698894124e-06
Schmidt,2,TRAF3IP2+VAV1,combo_seen2,0.007381524685178075,0.007097040963097237,0.03853996758313017,0.004436397716009678,0.004221596631556449,0.048417905292411856,0.38766968074691693,0.4288952841622846,0.041225603415367684
Schmidt,2,DEPDC7,unseen_single,0.0017575938691191532,0.0011692214281060528,0.3347601805802684,0.04514558872331835,0.018362226560787783,0.593266428015293,0.43697417718843956,0.9459398231978898,0.5089656460094503
Schmidt,2,EMP3,unseen_single,0.0007885640286848498,0.0003050060263783479,0.6132133659621396,0.023289932171236646,0.003370317210909708,0.8552886635250878,0.22180779309174367,0.9278475478171884,0.7060397547254447
Schmidt,2,FOSL1,unseen_single,0.0031305578048911103,0.0032411345736597414,-0.03532174636605288,0.08265756383360082,0.08552180725089667,-0.034651921547819924,0.4355291623680804,0.2928841517151093,-0.14264501065297114
Schmidt,2,IKZF3,unseen_single,0.002584591331193043,0.00238897487980525,0.07568564090845915,0.0617632200518438,0.05298766356108588,0.14208385643416502,0.15143316739230567,0.5400358619235319,0.38860269453122626
Schmidt,2,JMJD1C,unseen_single,0.002975312808835198,0.002654462882060922,0.10783737623200877,0.06409375640896525,0.05105780449152616,0.20338879553665326,0.011147819257164935,0.5192071958957768,0.5080593766386119
Schmidt,2,LTBR,unseen_single,0.009239818580162441,0.008709916977132415,0.05734978435266099,0.29522147867383836,0.2710088080674689,0.08201527448183973,0.5823791174915695,0.45881896955510454,-0.12356014793646491
Schmidt,2,RELA,unseen_single,0.002251779245509175,0.002337501688224795,-0.03806875957604648,0.06977871279740612,0.06569189238504554,0.05856829752973747,0.3939193143138672,0.4833790208072766,0.08945970649340945
Schmidt,2,TNFRSF1A,unseen_single,0.00716473944793232,0.005307775586279703,0.25918093395406305,0.22512958893733395,0.16106849906899584,0.2845520669705032,0.6426005120845406,0.6179861916663465,-0.024614320418194113
Schmidt,2,WT1,unseen_single,0.002642431875570758,0.0025039705535830166,0.05239920213944369,0.07504952208181045,0.06348163439215895,0.15413672690735467,0.4963008046893085,0.5138426937653965,0.017541889076088002
Schmidt,2,EMP3+JMJD1C,combo_seen0,0.008962020569206247,0.007955802699542325,0.11227578221827736,0.009486670299957714,0.009061293674216677,0.044839402265611894,-0.15006191586062015,-0.16202135390358927,-0.011959438042969117
Schmidt,2,EMP3+TNFRSF1A,combo_seen0,0.012693092174286666,0.01037265727074125,0.18281084480313578,0.049166340309737,0.023646304050401815,0.519055030302533,0.29384877955542066,0.904565179360786,0.6107163998053653
Schmidt,3,CBY1+EMP3,combo_seen1,0.006539161904212451,0.006093208823856301,0.06819728382453302,0.03182386369450763,0.012451852690237807,0.6087259293915708,-0.31874117120329215,0.9820591360919801,1.3008003072952723
Schmidt,3,CBY1+LCP2,combo_seen1,0.009304616015380136,0.00856954317588457,0.07900087851884724,0.011398039677398886,0.010387429878136038,0.08866522909784046,-0.24198005339708067,-0.09356170060192603,0.14841835279515464
Schmidt,3,EMP3+JMJD1C,combo_seen1,0.00770840717649873,0.0075028314476945955,0.026669028256692335,0.008620601720105698,0.008827130296541355,-0.02395755924484641,-0.12363116876833558,-0.14550962269320833,-0.021878453924872754
Schmidt,3,EMP3+MAP4K1,combo_seen1,0.010330114469511934,0.00993505905311989,0.038243082161190156,0.011702769497283322,0.011324008855657994,0.032365043309898006,0.2662904881774386,0.275209884692561,0.008919396515122413
Schmidt,3,EMP3+PRKD2,combo_seen1,0.0073493646545665465,0.007183853029881095,0.02252053510266508,0.02314025689922082,0.009035720663494378,0.6095237532216581,-0.04244615021554906,0.9607146244084922,1.0031607746240412
Schmidt,3,EMP3+TBX21,combo_seen1,0.0131729455311133,0.012274779398225917,0.06818263468606892,0.07363626989181825,0.03349325271468045,0.5451527791414935,-0.15775185472985792,0.9576124981378115,1.1153643528676693
Schmidt,3,EMP3+TNFRSF1A,combo_seen1,0.005918620622793148,0.005558186350406969,0.06089835712701606,0.030118445491673692,0.012107098696410069,0.598017145348451,0.683172910963463,0.9610110646738617,0.27783815371039866
Schmidt,3,EMP3+TRAF3IP2,combo_seen1,0.008170854097837023,0.008067892095933322,0.012601130881893602,0.027604685508878138,0.011818070985914636,0.5718817016729373,-0.13453794785224482,0.9057844208836682,1.040322368735913
Schmidt,3,EMP3+VAV1,combo_seen1,0.008444374299602249,0.008265931197849335,0.02113159547668545,0.02621217113757741,0.012316285000322107,0.5301310625633124,0.23280822087447445,0.9161169627581625,0.6833087418836881
Schmidt,3,JMJD1C+TNFRSF1B,combo_seen1,0.017955280290401207,0.01470698635799352,0.18091023252609467,0.02402420091575527,0.01817998399638473,0.24326373808911392,0.05491030705369649,0.6434276449298058,0.5885173378761093
