i,j,component,pair_type,component_status,unsupported_truth,seed,seen_category,train_edges,global_nullity,endpoint_degree_sum,null_projection,regularized_variance,cosine,nmse,catastrophic
100,101,7,within,witnessed,0,4,seen2,380,4,12,0.0,1.619553253141608,0.9994854083904777,0.001041985849464271,0
107,108,7,within,witnessed,0,4,seen2,380,4,12,0.0,1.5119498956815591,0.9995174031938581,0.0009659260470255357,0
2,9,0,cross,witnessed,0,5,seen2,380,4,12,0.0,0.36209150808746,0.9968753185477759,0.006240752046139069,0
3,10,0,cross,witnessed,0,5,seen2,380,4,12,0.0,0.3620915080874599,0.9981654860936976,0.004034806083356346,0
2,3,0,within,witnessed,0,5,seen2,380,4,12,0.0,1.6195532531416101,0.9997155701249197,0.0005699105452456622,0
9,10,0,within,witnessed,0,5,seen2,380,4,12,0.0,1.5119498956815618,0.9997095750173918,0.0005859986014284352,0
16,23,1,cross,unwitnessed,0,5,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716474,0.9983048288517296,0.003396933910638422,0
17,24,1,cross,unwitnessed,0,5,seen2,380,4,12,0.0,0.3620940524716332,0.9984252944938546,0.003198970387939053,0
16,17,1,within,unwitnessed,1,5,seen2,380,4,12,0.14285714285714274,285.97844599970784,0.05371243523325484,1.0137938834057474,1
23,24,1,within,unwitnessed,1,5,seen2,380,4,12,0.14285714285714288,285.97844599970796,0.18464067534145698,0.9660412404748873,1
30,37,2,cross,witnessed,0,5,seen2,380,4,12,0.0,0.3620915080874599,0.9965639271434322,0.0076884703798207185,0
31,38,2,cross,witnessed,0,5,seen2,380,4,12,0.0,0.3620915080874599,0.998221761536136,0.003553575009336007,0
30,31,2,within,witnessed,0,5,seen2,380,4,12,0.0,1.619553253141607,0.9996877150742332,0.000673716514426228,0
37,38,2,within,witnessed,0,5,seen2,380,4,12,0.0,1.5119498956815591,0.999713992888047,0.0005762774073022724,0
44,51,3,cross,unwitnessed,0,5,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716616,0.9978637858559208,0.004278839122039854,0
45,52,3,cross,unwitnessed,0,5,seen2,380,4,12,0.0,0.3620940524716474,0.9974804671292757,0.00504497630275879,0
44,45,3,within,unwitnessed,1,5,seen2,380,4,12,0.14285714285714274,285.97844599987144,0.24912831525955406,0.9427333166373756,1
51,52,3,within,unwitnessed,1,5,seen2,380,4,12,0.14285714285714288,285.9784459998714,0.0879354449754587,1.0031224260371696,1
58,65,4,cross,unwitnessed,0,5,seen2,380,4,12,0.0,0.3620940524716616,0.9977394959659605,0.0045160018429189685,0
59,66,4,cross,unwitnessed,0,5,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716758,0.9980479474780428,0.003906644971004166,0
58,59,4,within,unwitnessed,1,5,seen2,380,4,12,0.14285714285714293,285.9784459998442,0.13262865040387983,0.9837843130103884,1
65,66,4,within,unwitnessed,1,5,seen2,380,4,12,0.14285714285714274,285.97844599984427,0.0197033413338663,1.0314466167378844,1
