dataset,seed,condition,control,nir
Replogle_exp6,3,CHEK1+FDPS,technical_duplicate,0.36363636363636365
Replogle_exp6,3,ETAA1+FDPS,technical_duplicate,0.8787878787878788
Replogle_exp6,3,FDPS+HMGCR,technical_duplicate,1.0
Replogle_exp6,3,FDPS+HUS1,technical_duplicate,1.0
Replogle_exp6,3,FDPS+IDI1,technical_duplicate,0.9696969696969697
Replogle_exp6,3,FDPS+LIG4,technical_duplicate,0.696969696969697
Replogle_exp6,3,FDPS+MVD,technical_duplicate,1.0
Replogle_exp6,3,FDPS+NHEJ1,technical_duplicate,0.5454545454545454
Replogle_exp6,3,FDPS+PMVK,technical_duplicate,1.0
Replogle_exp6,3,FDPS+PRKDC,technical_duplicate,0.9393939393939394
Replogle_exp6,3,FDPS+RAD9A,technical_duplicate,0.9696969696969697
